"Finished Good Code","Finished Good Name","Category","Unit of Measure","Standard Cost","Current Cost","Selling Price","Gross Profit","Gross Profit %","Recipe/BOM Version","Status","Created Date","Last Updated","Stock On Hand","Inventory Value"
"CERTFG_001","CERTFG_ Product 001","CERT_CATEGORY","unit",10.00,10.00,20.00,10.00,50.00,"","Active","2026-07-13","2026-07-13",100.0000,1000.00
"CERTFG_002","CERTFG_ Product 002","CERT_CATEGORY","unit",10.50,10.50,21.00,10.50,50.00,"","Active","2026-07-13","2026-07-13",100.0000,1050.00
"CERTFG_003","CERTFG_ Product 003","CERT_CATEGORY","unit",11.00,11.00,22.00,11.00,50.00,"","Active","2026-07-13","2026-07-13",100.0000,1100.00
"CERTFG_004","CERTFG_ Product 004","CERT_CATEGORY","unit",11.50,11.50,23.00,11.50,50.00,"","Active","2026-07-13","2026-07-13",100.0000,1150.00
"CERTFG_005","CERTFG_ Product 005","CERT_CATEGORY","unit",12.00,12.00,24.00,12.00,50.00,"","Active","2026-07-13","2026-07-13",100.0000,1200.00
"CERTFG_006","CERTFG_ Product 006","CERT_CATEGORY","unit",12.50,12.50,25.00,12.50,50.00,"","Active","2026-07-13","2026-07-13",100.0000,1250.00
"CERTFG_007","CERTFG_ Product 007","CERT_CATEGORY","unit",13.00,13.00,26.00,13.00,50.00,"","Active","2026-07-13","2026-07-13",100.0000,1300.00
"CERTFG_008","CERTFG_ Product 008","CERT_CATEGORY","unit",13.50,13.50,27.00,13.50,50.00,"","Active","2026-07-13","2026-07-13",100.0000,1350.00
"CERTFG_009","CERTFG_ Product 009","CERT_CATEGORY","unit",14.00,14.00,28.00,14.00,50.00,"","Active","2026-07-13","2026-07-13",100.0000,1400.00
"CERTFG_010","CERTFG_ Product 010","CERT_CATEGORY","unit",14.50,14.50,29.00,14.50,50.00,"","Active","2026-07-13","2026-07-13",100.0000,1450.00
"CERTFG_011","CERTFG_ Product 011","CERT_CATEGORY","unit",15.00,15.00,30.00,15.00,50.00,"","Active","2026-07-13","2026-07-13",100.0000,1500.00
"CERTFG_012","CERTFG_ Product 012","CERT_CATEGORY","unit",15.50,15.50,31.00,15.50,50.00,"","Active","2026-07-13","2026-07-13",100.0000,1550.00
"CERTFG_013","CERTFG_ Product 013","CERT_CATEGORY","unit",16.00,16.00,32.00,16.00,50.00,"","Active","2026-07-13","2026-07-13",100.0000,1600.00
"CERTFG_014","CERTFG_ Product 014","CERT_CATEGORY","unit",16.50,16.50,33.00,16.50,50.00,"","Active","2026-07-13","2026-07-13",100.0000,1650.00
"CERTFG_015","CERTFG_ Product 015","CERT_CATEGORY","unit",17.00,17.00,34.00,17.00,50.00,"","Active","2026-07-13","2026-07-13",100.0000,1700.00
"CERTFG_016","CERTFG_ Product 016","CERT_CATEGORY","unit",17.50,17.50,35.00,17.50,50.00,"","Active","2026-07-13","2026-07-13",100.0000,1750.00
"CERTFG_017","CERTFG_ Product 017","CERT_CATEGORY","unit",18.00,18.00,36.00,18.00,50.00,"","Active","2026-07-13","2026-07-13",100.0000,1800.00
"CERTFG_018","CERTFG_ Product 018","CERT_CATEGORY","unit",18.50,18.50,37.00,18.50,50.00,"","Active","2026-07-13","2026-07-13",100.0000,1850.00
"CERTFG_019","CERTFG_ Product 019","CERT_CATEGORY","unit",19.00,19.00,38.00,19.00,50.00,"","Active","2026-07-13","2026-07-13",100.0000,1900.00
"CERTFG_020","CERTFG_ Product 020","CERT_CATEGORY","unit",19.50,19.50,39.00,19.50,50.00,"","Active","2026-07-13","2026-07-13",100.0000,1950.00
"CERTFG_021","CERTFG_ Product 021","CERT_CATEGORY","unit",20.00,20.00,40.00,20.00,50.00,"","Active","2026-07-13","2026-07-13",100.0000,2000.00
"CERTFG_022","CERTFG_ Product 022","CERT_CATEGORY","unit",20.50,20.50,41.00,20.50,50.00,"","Active","2026-07-13","2026-07-13",100.0000,2050.00
"CERTFG_023","CERTFG_ Product 023","CERT_CATEGORY","unit",21.00,21.00,42.00,21.00,50.00,"","Active","2026-07-13","2026-07-13",100.0000,2100.00
"CERTFG_024","CERTFG_ Product 024","CERT_CATEGORY","unit",21.50,21.50,43.00,21.50,50.00,"","Active","2026-07-13","2026-07-13",100.0000,2150.00
"CERTFG_025","CERTFG_ Product 025","CERT_CATEGORY","unit",22.00,22.00,44.00,22.00,50.00,"","Active","2026-07-13","2026-07-13",100.0000,2200.00
