product_name,line_name,line_type,unit,unit_cost,quantity,line_cost,source_file,source_sheet,source_row
GREEN PEPPERCORN BRISKET 280GR,BRISKET,Ingredient,KG,110.98,10.0,1109.8,Handcrafted Costing,GREEN PEPPERCORN BRISKET,7
GREEN PEPPERCORN BRISKET 280GR,PUFF PASTRY,Ingredient,KG,12.73,1.0,12.73,Handcrafted Costing,GREEN PEPPERCORN BRISKET,8
GREEN PEPPERCORN BRISKET 280GR,BEEF GOULASH,Ingredient,KG,95.98,4.0,383.92,Handcrafted Costing,GREEN PEPPERCORN BRISKET,9
GREEN PEPPERCORN BRISKET 280GR,SALT,Ingredient,KG,7.7,0.02,0.154,Handcrafted Costing,GREEN PEPPERCORN BRISKET,10
GREEN PEPPERCORN BRISKET 280GR,FROZEN MIX PEPPERS,Ingredient,KG,42.98,1.0,42.98,Handcrafted Costing,GREEN PEPPERCORN BRISKET,11
GREEN PEPPERCORN BRISKET 280GR,FROZEN ONIONS,Ingredient,KG,16.98,1.0,16.98,Handcrafted Costing,GREEN PEPPERCORN BRISKET,12
GREEN PEPPERCORN BRISKET 280GR,POTATOES,Ingredient,KG,9.0,10.0,90.0,Handcrafted Costing,GREEN PEPPERCORN BRISKET,13
GREEN PEPPERCORN BRISKET 280GR,PEPPER STEAK SPICE,Ingredient,KG,55.98,0.27,15.1146,Handcrafted Costing,GREEN PEPPERCORN BRISKET,14
GREEN PEPPERCORN BRISKET 280GR,GARLIC,Ingredient,KG,34.95,0.4,13.980000000000002,Handcrafted Costing,GREEN PEPPERCORN BRISKET,15
GREEN PEPPERCORN BRISKET 280GR,BEEF STOCK POWDER,Ingredient,KG,49.95,0.2,9.990000000000002,Handcrafted Costing,GREEN PEPPERCORN BRISKET,16
GREEN PEPPERCORN BRISKET 280GR,MIXED HERBS,Ingredient,KG,47.64,0.005,0.2382,Handcrafted Costing,GREEN PEPPERCORN BRISKET,17
GREEN PEPPERCORN BRISKET 280GR,DRIED THYME,Ingredient,KG,76.98,0.005,0.3849,Handcrafted Costing,GREEN PEPPERCORN BRISKET,18
GREEN PEPPERCORN BRISKET 280GR,DRIED PARSLEY,Ingredient,KG,43.82,0.005,0.21910000000000002,Handcrafted Costing,GREEN PEPPERCORN BRISKET,19
GREEN PEPPERCORN BRISKET 280GR,MODI STARCH,Ingredient,KG,27.95,0.15,4.1925,Handcrafted Costing,GREEN PEPPERCORN BRISKET,20
GREEN PEPPERCORN BRISKET 280GR,FLOUR,Ingredient,KG,12.98,0.05,0.649,Handcrafted Costing,GREEN PEPPERCORN BRISKET,21
GREEN PEPPERCORN BRISKET 280GR,FOLIEEN SHEETS,Ingredient,EACH,0.14,44.0,6.16,Handcrafted Costing,GREEN PEPPERCORN BRISKET,22
GREEN PEPPERCORN BRISKET 280GR,OIL,Ingredient,LT,34.95,0.5,17.475,Handcrafted Costing,GREEN PEPPERCORN BRISKET,23
GREEN PEPPERCORN BRISKET 280GR,BOX,Ingredient,EACH,12.98,24.0,311.52,Handcrafted Costing,GREEN PEPPERCORN BRISKET,24
GREEN PEPPERCORN BRISKET 280GR,EGGS,Ingredient,EACH,2.29,3.0,6.87,Handcrafted Costing,GREEN PEPPERCORN BRISKET,25
GREEN PEPPERCORN BRISKET 280GR,MILK,Ingredient,LT,24.333,2.0,48.666,Handcrafted Costing,GREEN PEPPERCORN BRISKET,26
GREEN PEPPERCORN BRISKET 280GR,FOIL BAKKIE,Ingredient,EACH,0.89,200.0,178.0,Handcrafted Costing,GREEN PEPPERCORN BRISKET,27
GREEN PEPPERCORN BRISKET 280GR,TAPE,Ingredient,EACH,17.5,1.0,17.5,Handcrafted Costing,GREEN PEPPERCORN BRISKET,28
GREEN PEPPERCORN BRISKET 280GR,HALAL STICKER,Ingredient,EACH,0.08,12.0,0.96,Handcrafted Costing,GREEN PEPPERCORN BRISKET,29
GREEN PEPPERCORN BRISKET 280GR,LABEL,Ingredient,EACH,0.32,25.0,8.0,Handcrafted Costing,GREEN PEPPERCORN BRISKET,30
CONFIT CHICKEN AND MUSHROOM 280GR,CHICKEN FILLETS,Ingredient,KG,34.95,14.0,489.30000000000007,Handcrafted Costing,GOURMET PIES CONFIT CHICKEN AND,7
CONFIT CHICKEN AND MUSHROOM 280GR,PUFF PASTRY,Ingredient,KG,12.73,20.15,256.5095,Handcrafted Costing,GOURMET PIES CONFIT CHICKEN AND,8
CONFIT CHICKEN AND MUSHROOM 280GR,FROZEN MUSHROOMS,Ingredient,KG,34.98,5.0,174.89999999999998,Handcrafted Costing,GOURMET PIES CONFIT CHICKEN AND,9
CONFIT CHICKEN AND MUSHROOM 280GR,FROZEN MIX PEPPERS,Ingredient,KG,34.95,5.0,174.75,Handcrafted Costing,GOURMET PIES CONFIT CHICKEN AND,10
CONFIT CHICKEN AND MUSHROOM 280GR,FROZEN ONIONS,Ingredient,KG,21.0,5.0,105.0,Handcrafted Costing,GOURMET PIES CONFIT CHICKEN AND,11
CONFIT CHICKEN AND MUSHROOM 280GR,POTATOES,Ingredient,KG,9.9,8.0,79.2,Handcrafted Costing,GOURMET PIES CONFIT CHICKEN AND,12
CONFIT CHICKEN AND MUSHROOM 280GR,CHICKEN SPICE,Ingredient,KG,61.98,0.3,18.593999999999998,Handcrafted Costing,GOURMET PIES CONFIT CHICKEN AND,13
CONFIT CHICKEN AND MUSHROOM 280GR,GARLIC,Ingredient,KG,34.95,0.4,13.980000000000002,Handcrafted Costing,GOURMET PIES CONFIT CHICKEN AND,14
CONFIT CHICKEN AND MUSHROOM 280GR,ROMI MARG,Ingredient,KG,22.29,5.0,111.44999999999999,Handcrafted Costing,GOURMET PIES CONFIT CHICKEN AND,15
CONFIT CHICKEN AND MUSHROOM 280GR,MIXED HERBS,Ingredient,KG,47.64,0.005,0.2382,Handcrafted Costing,GOURMET PIES CONFIT CHICKEN AND,16
CONFIT CHICKEN AND MUSHROOM 280GR,DRIED THYME,Ingredient,KG,76.98,0.005,0.3849,Handcrafted Costing,GOURMET PIES CONFIT CHICKEN AND,17
CONFIT CHICKEN AND MUSHROOM 280GR,DRIED PARSLEY,Ingredient,KG,43.82,0.005,0.21910000000000002,Handcrafted Costing,GOURMET PIES CONFIT CHICKEN AND,18
CONFIT CHICKEN AND MUSHROOM 280GR,MODI STARCH,Ingredient,KG,27.95,0.15,4.1925,Handcrafted Costing,GOURMET PIES CONFIT CHICKEN AND,19
CONFIT CHICKEN AND MUSHROOM 280GR,FLOUR,Ingredient,KG,12.98,0.05,0.649,Handcrafted Costing,GOURMET PIES CONFIT CHICKEN AND,20
CONFIT CHICKEN AND MUSHROOM 280GR,FOLIEEN SHEETS,Ingredient,EACH,0.14,38.0,5.32,Handcrafted Costing,GOURMET PIES CONFIT CHICKEN AND,21
CONFIT CHICKEN AND MUSHROOM 280GR,OIL,Ingredient,LT,34.95,0.4,13.980000000000002,Handcrafted Costing,GOURMET PIES CONFIT CHICKEN AND,22
CONFIT CHICKEN AND MUSHROOM 280GR,BOX,Ingredient,EACH,12.98,10.0,129.8,Handcrafted Costing,GOURMET PIES CONFIT CHICKEN AND,23
CONFIT CHICKEN AND MUSHROOM 280GR,EGGS,Ingredient,EACH,29.98,2.0,59.96,Handcrafted Costing,GOURMET PIES CONFIT CHICKEN AND,24
CONFIT CHICKEN AND MUSHROOM 280GR,MILK,Ingredient,LT,24.333,0.2,4.8666,Handcrafted Costing,GOURMET PIES CONFIT CHICKEN AND,25
CONFIT CHICKEN AND MUSHROOM 280GR,FOIL BAKKIE,Ingredient,EACH,0.89,156.0,138.84,Handcrafted Costing,GOURMET PIES CONFIT CHICKEN AND,26
CONFIT CHICKEN AND MUSHROOM 280GR,TAPE,Ingredient,EACH,17.5,1.0,17.5,Handcrafted Costing,GOURMET PIES CONFIT CHICKEN AND,27
CONFIT CHICKEN AND MUSHROOM 280GR,HALAL STICKER,Ingredient,EACH,0.08,10.0,0.8,Handcrafted Costing,GOURMET PIES CONFIT CHICKEN AND,28
