category,name,price,supplier,last_increase
Uncategorised,All spice,215.8,Gourmet Food,
SPICE,Aniseed Whole,148.15,Basic Foods,
VEG,Baby Marrow,24.99,Food Lovers,
PACKAGING,Bag on a roll,0.084,U-No-me,"R36,52 excl per 500"
FLOUR,Baking Powder,47.95,Basic foods,
SPICE,Bay Leaves,75.0,Gourmet Food,
MEAT,Beef Boerewors Mince (CATERING),49.5,N1 Suppliers,
MEAT,Beef Brisket,110.98,N1 Suppliers,
MEAT,Beef Brisket Bone In,78.5,N1 Suppliers,
FILLING,Beef Curry,622.85,KHF,
MEAT,Beef Ox Kidney Diced,55.95,N1 Suppliers,
MEAT,Beef Oxtail,124.99,N1 Suppliers,
SPICE,Beef Stock,25.69,Gourmet Food,
SPICE,Borrie,43.66,Basic Foods,
PACKAGING,Bottle,10.75,consel,
Uncategorised,BREAD,0.4,Unknown,
MEAT,Burger 60g,59.98,N1 Suppliers,
FLOUR,CAKE FLOUR,12.5,Pioneer,
VEG,Carrots,19.99,Food Lovers,
VEG,Celery,24.99,Food Lovers,
DAIRY,Cheddar Cheese Grated,100.46,Malans Dairy,
Uncategorised,CHEESE GRILLER,7.15,N1 SUPPLIERS,
SAUCE,Cheese Sauce,106.09,Freddy Hirsch,
Uncategorised,CHEESE SLICES,1.31,Unknown,
MEAT,Chicken Bites,34.95,Gourmet Food,
POULTRY,CHICKEN LQ,18.06,N1 SUPPLIERS,EACH
POULTRY,CHICKEN STRIPS,79.98,GOURMET FOODS,
FILLING,Chicken/Mushroom,325.44,KHF,
SPICE,Chilli Flakes,97.54,Basic Foods,
VEG,CHIPS,14.79,N1 SUPPLIERS,
SAUCE,Chutney,12.53,Basic Foods,
Uncategorised,Cloves,365.8,Gourmet Food,
SPICE,Corinader Whole,42.44,Gourmet Food,
FLOUR,Cornflour,14.0868,Cabfoods,
FILLING,Creamy Spinach & Feta,0,KHF,
VEG,Crushed Garlic,34.95,Food Lovers,
SPICE,Curry Leaves,30.75,Basic Foods,
SPICE,Curry Powder All-In-One,49.95,Gourmet Food,
SPICE,Dried Mixed Herbs,47.64,Basic Foods,
SPICE,Dried Oreganum,76.98,Basic Foods,
SPICE,Dried Parsley,43.82,Basic Foods,
DAIRY,Eggs,2.29,Basic Foods,
DAIRY,Feta 5kg tub,59.0,Fairwiew,
Uncategorised,Foil Bakkie,0.92,Gourmet Food,
PACKAGING,Foil Mini (quiche),0.4347826086956522,U-No-me,
PACKAGING,Foil Tart (family pies),2.6,U-No-me,
PACKAGING,Foilene Sheet,0.14,Fampak,
VEG,Fresh Basil,12.99,Food Lovers,
VEG,Fresh Coriander,12.99,Food Lovers,
VEG,Fresh Mushroom,22.99,Food Lovers,
VEG,Frozen McCain Asian Stirfry,0,N1 Suppliers,
VEG,Frozen Mixed Peppers,17.0,Gourmet Food,
VEG,Frozen Mixed Veg,27.05,N1 Suppliers,
VEG,Frozen Mushrooms Imported,34.98,N1 Suppliers,
VEG,Frozen Onion,21.0,Gourmet Food,
VEG,Garlic,29.99,Food Lovers,
SPICE,Garlic Flakes,96.19,Basic Foods,
SPICE,Garlic Powder,46.49,Basic Foods,
SPICE,Garum Masala,260.7826086956522,PnP,
GAS,GAS,0.41,GASMART,
SPICE,Ginger Powder,83.7,Basic Foods,
BAKERY,GREASE PROOF PAPER,0.643,Gourmet Food,
VEG,Green Pepper,59.0,Food Lovers,
SPICE,Ground Cinnamon,89.0,Basic Foods,
SPICE,Ground Coriander,49.14,Basic Foods,
SPICE,Ground Cumin,76.2,Basic Foods,
Uncategorised,Halal Sticker,0.08,Gourmet Food,
VEG,Instant yeast,4.99,Food Lovers,
VEG,Jalapenos,86.92753623188406,PnP,
JAM,Jam Apricot,41.535555555555554,Checkers,
PACKAGING,Label,0.32,CK Lables,
PACKAGING,label Echt,0.5,CK Lables,
VEG,Large Potatoes,9.9,Food Lovers,
