product_name,category,sheet,total_cost,batch_total_cost,selling_price,target_gp,batch_desc,line_count
GREEN PEPPERCORN BRISKET 280GR,Handcrafted Costing,GREEN PEPPERCORN BRISKET,11.482416500000001,2296.4833000000003,29.95,55.91058772954924,"32KG BATCH 200PIES(12,5 BOX)",24
CONFIT CHICKEN AND MUSHROOM 280GR,Handcrafted Costing,GOURMET PIES CONFIT CHICKEN AND,11.656992258064516,1806.8338,29.95,55.240263449835744,"24,9KG BATCH 155 PIES(9,5 BOX)",23
280GR,Handcrafted Costing,BOBOTI,0.057420900655307965,12.560822018348617,29.95,99.7795190792868,"35KG BATCH 218,75 PIES(13 BOX)",29
CONFIT CHICKEN 280GR,Handcrafted Costing,GOURMET PIES CONFIT CHICKEN,12.156030400000002,1519.5038000000002,29.95,53.324090283806335,20KG BATCH 125 PIES(8 BOX),21
KAROO LAMB 280GR,Handcrafted Costing,KAROO LAMB,17.036519634703183,3730.9977999999974,29.95,34.58431525906959,"35KG BATCH 219 PIES(13,5KG BOX)",22
PEPPERSTEAK FILLING,Handcrafted Costing,PEPPERSTEAK FILLING OLD BATCH,553.9825,553.9825,0.0,40,60KG BATCH,46
PEPPER STEAK PIE 160G,Handcrafted Costing,TASTI CHEF PIES 160GR,3.5,237.61294999999998,15.0,73.16666666666669,,86
PEPPER STEAK PIE 160G,Handcrafted Costing,TASTI CHEF PIES 180GR,3.5,241.81920000000002,15.0,73.16666666666669,,86
APPLE CINNAMON PUFF,Handcrafted Costing,SWEET PUFFS,6.67325,247.81605000000002,20.0,61.628812499999995,,98
TOMATO/CHEESE/CUCUMBER/LETTUCE/SANDWICH,Handcrafted Costing,NEW ITEMS FOR TASTI CHEF SHOP,6.67325,254.81695000000002,20.0,61.628812499999995,,92
BEEF BURGER,Handcrafted Costing,New Meals,6.67325,294.9270600000001,20.0,61.628812499999995,,91
BUNS 100GR,Handcrafted Costing,BUNS,3.7655000000000003,150.62,0,40,,4
MARGARINE SHORT CRUST,Handcrafted Costing,SHORT CRUST PASTRY,75.92399999999999,134.83700000000002,0,40,,13
280GR,Handcrafted Costing,BOBOTI BUTTER SHORT CRUST,17.00439954285714,3719.7123999999994,32.95,40.652323295035785,"40KG BATCH 218,75 PIES(13 BOX)",29
KAROO LAMB 280GR,Handcrafted Costing,KAROO LAMB_WITH BUTTER CRUST,17.120172602739714,3749.3177999999975,32.95,40.24825950485382,"35KG BATCH 219 PIES(13,5KG BOX)",22
280GR,Handcrafted Costing,BOBOTI PASTRY KING 22,12.347371428571424,2700.9874999999993,32.95,56.90598742683722,"40KG BATCH 218,75 PIES(13 BOX)",29
KAROO LAMB 280GR,Handcrafted Costing,KAROO LAMB PASTRY KING 22,17.120172602739714,3749.3177999999975,32.95,40.24825950485382,"35KG BATCH 219 PIES(13,5KG BOX)",22
ROUND Chakalaka SAUSAGE PIE,Handcrafted Costing,ROUND SAUSAGE PIESHAKALAKA,9.3663,9.3663,0.0,40,,10
OXTAIL 280gr,Gourmet Costing,OXTAIL,0,2902.953526009524,0,40,,43
TOMATO BREDIE 280gr,Gourmet Costing,TOMATO BREDIE,0,4033.6458461323837,0,40,,42
Confit Chicken /Mushrooms 280gr,Gourmet Costing,CONFIT CHICKEN AND MUSHROOM,0,1800.6292371509815,0,40,,43
BASIL PINWHEEL,Gourmet Costing,PINWHEELS,0,2077.9502635333333,0,40,,82
ROOSTERKOEK,Gourmet Costing,ROOSTERKOEK,0,278.8487590888889,0,40,,33
VETKOEK,Gourmet Costing,VETKOEK,0,614.5567861733333,0,40,,50
PLAIN CONFIT CHICKEN 280gr,Gourmet Costing,PLAIN CONFIT CHICKEN,0,1581.6742870875398,0,40,,43
GREEN PEPPERCORN BRISKET 280gr,Gourmet Costing,GREEN PEPPERCORN BRISKET,0,2713.7526613585756,0,40,,45
BABOTI BRISKET 280gr,Gourmet Costing,BOBOTIE BRISKET,0,2191.190354298765,0,40,,47
KAROO LAMB 280gr,Gourmet Costing,KAROO LAMB,0,3243.9012830562674,0,40,,41
CAPE MALAY LAMB 280gr,Gourmet Costing,CAPE MALAY LAMB,0,2740.3132221999986,0,40,,43
THAI GREEN CHICKEN CURRY 280GR,Gourmet Costing,THAI GREEN CURRY,0,1704.2415672980392,0,40,,41
PEPPER STEAK FILLING 60KG,Gourmet Costing,TASTI CHEF PIE FILLINGS,0,2905.0148805333333,0,40,,24
BUTTERMILK RUSKS,Gourmet Costing,BUTTERMILK RUSKS,0,156.25736251666663,0,40,,30
HOTDOG ROLLS,Gourmet Costing,HOTDOG ROLLS,0,231.35897022764968,0,40,,53
PlAIN STEAK FILLING 60KG,Gourmet Costing,PLAINSTEAK-BEEFCURRY FILLING,0,2514.6380848298854,0,40,,23
CHICKEN AND MUSHROOM FILLING 60KG,Gourmet Costing,CHICKMUSH-PLAINCHICK FILLING,0,926.6422363116558,0,40,,24
BREAD CROISSANTS,Gourmet Costing,BREAD CROISSANTS,0,764.0166412916665,0,40,,50
APPLE AND CINNAMON MUFFIN,Gourmet Costing,APPLE AND CINNAMON MUFFIN,0,74.24620553333335,0,40,,30
CROISSANTS,Gourmet Costing,CROISSANTS,0,532.1275478111108,0,40,,34
BROWNIE,Gourmet Costing,PERI-PERI SAUCE,0,260.64046553333327,0,40,,27
SAVOURY MUFFINS,Gourmet Costing,SAVOURY MUFFINS,0,176.8885172163398,0,40,,35
CHICKEN STRIPS,Gourmet Costing,TASTI CHEF CRUMBED CHICKEN + CH,0,63.07010553333333,0,40,,21
CHICKEN LQ + BBQ,Gourmet Costing,CHICKEN LQ +BBQ,0,73.74165553333336,0,40,,24
RUSSIAN,Gourmet Costing,RUSSIAN,0,55.14925553333333,0,40,,20
CHEESE AND HAM,Gourmet Costing,SARMIES,0,57.523835533333326,0,40,,22
