file	hex_literals	rgb_literals
src/app/layout.tsx	1	0
src/app/alerts/page.tsx	0	5
src/app/audit-risk/page.tsx	2	1
src/app/bug-fix-board/page.tsx	0	5
src/app/client-data-request/page.tsx	0	7
src/app/client-demo-script/page.tsx	0	7
src/app/client-proposal/page.tsx	0	6
src/app/companies/page.tsx	2	1
src/app/cost-analysis/page.tsx	1	5
src/app/demo-data/page.tsx	0	2
src/app/demo-flow/page.tsx	0	2
src/app/demo-issue-log/page.tsx	0	6
src/app/enterprise/page.tsx	9	2
src/app/executive-briefing/page.tsx	5	5
src/app/export-centre/page.tsx	0	1
src/app/exports/page.tsx	1	1
src/app/final-testing-map/page.tsx	0	1
src/app/financial-leakage/page.tsx	17	3
src/app/financial-leakage/[id]/page.tsx	0	9
src/app/go-live-readiness/page.tsx	0	6
src/app/help-centre/page.tsx	0	6
src/app/implementation-plan/page.tsx	0	7
src/app/import-costings/page.tsx	8	1
src/app/ingredients/[id]/page.tsx	1	0
src/app/invoice-centre/page.tsx	1	1
src/app/login/LoginClient.tsx	1	0
src/app/meeting-notes/page.tsx	0	6
src/app/onboarding/page.tsx	0	7
src/app/order/page.tsx	1	0
src/app/order/[tenant]/page.tsx	1	0
src/app/order/[tenant]/manifest.webmanifest/route.ts	1	0
src/app/pilot-setup-plan/page.tsx	0	6
src/app/platform-overview/page.tsx	0	6
src/app/post-demo-actions/page.tsx	0	6
src/app/price-optimizer/page.tsx	4	0
src/app/pricing/page.tsx	0	5
src/app/products/[id]/page.tsx	3	15
src/app/recovery-opportunities/[id]/page.tsx	9	10
src/app/settings/page.tsx	0	6
src/app/supplier-intelligence/page.tsx	2	0
src/app/supplier-intelligence/alerts/[id]/page.tsx	2	0
src/app/testing-centre/page.tsx	0	1
src/app/training-manual/page.tsx	0	6
src/app/users/page.tsx	4	1
src/components/ActionCentreClient.tsx	4	1
src/components/ActionPanel.tsx	2	1
src/components/AiAssistantClient.tsx	14	3
src/components/AiFinancialIntelligenceFeed.tsx	12	1
src/components/AiIntelligenceWall.tsx	4	0
src/components/AiOperatorActionsClient.tsx	6	1
src/components/AiProcurementManagerClient.tsx	12	9
src/components/AlertsCentreClient.tsx	7	2
src/components/ApprovalCentreClient.tsx	7	2
src/components/ApprovalQueuePanel.tsx	5	1
src/components/ArchiveInvoiceDetailClient.tsx	3	0
src/components/AuditLogsClient.tsx	8	2
src/components/BoardPackCentreClient.tsx	1	0
src/components/BoardPackGeneratorClient.tsx	1	0
src/components/BomBuilderClient.tsx	21	8
src/components/BomListClient.tsx	1	4
src/components/BranchIntelligenceClient.tsx	7	2
src/components/BranchManagerClient.tsx	9	2
src/components/BranchPerformanceClient.tsx	2	2
src/components/BulkImportCentreClient.tsx	8	1
src/components/CategoriesManager.tsx	11	2
src/components/ClientBrandLockup.tsx	2	2
src/components/ClientOnboardingWizardClient.tsx	5	1
src/components/ClientProposalStudioClient.tsx	1	1
src/components/ClientTaskCentreClient.tsx	2	2
src/components/CommandCentreHero.tsx	11	0
src/components/CommercialLaunchCentreClient.tsx	5	1
src/components/ContactDetailPageClient.tsx	0	1
